June,1996,2001,2006,2013,2018,2019,2020,2021
Kaikoura Ranges,1300,1380,1460,1580,1750,1770,1810,1840
Kaikoura,2290,2190,2270,2050,2300,2340,2410,2420
Hanmer Range,200,200,230,260,280,280,280,280
Amuri,1860,1880,2060,2190,2310,2320,2440,2450
Hanmer Springs,600,700,750,890,1030,1070,1100,1120
Upper Hurunui,1280,1380,1400,1480,1510,1520,1530,1530
Parnassus,1440,1330,1300,1360,1340,1330,1320,1320
Ashley Forest,380,450,540,670,690,690,700,720
Omihi,1260,1210,1220,1240,1280,1280,1280,1270
Balcairn,1550,1830,1920,2270,2410,2410,2440,2450
Amberley,1050,1160,1340,1620,2110,2190,2270,2310
Okuku,370,440,510,680,740,760,770,780
Ashley Gorge,640,630,720,1050,1170,1190,1220,1240
Oxford,1530,1640,1780,2010,2280,2330,2370,2380
Starvation Hill-Cust,1030,1110,1420,2040,2290,2330,2400,2440
Loburn,860,990,1370,2040,2230,2260,2320,2360
Eyrewell,460,580,940,1590,1870,1900,1960,2000
West Eyreton,590,800,1130,1450,1500,1500,1530,1550
Ashley-Sefton,1410,1520,1760,2060,2200,2240,2270,2320
Fernside,710,750,950,1280,1360,1380,1400,1420
Rangiora North West,90,110,300,1410,2180,2360,2440,2510
Kingsbury,1140,1610,1880,2200,2850,2840,2830,2830
Ashgrove,1450,1440,1480,1540,1590,1600,1610,1610
Rangiora North East,1760,1760,1820,1860,1870,1880,1890,1870
Oxford Estate,170,240,270,920,1360,1390,1410,1400
Rangiora Central,40,30,40,40,40,40,50,50
Rangiora South West,1660,1960,2370,2470,2410,2430,2450,2440
Lilybrook,2820,2790,3000,3050,3050,3060,3100,3030
Waikuku,1170,1300,1450,1520,1680,1710,1900,2140
Mandeville-Ohoka,980,1370,1880,2570,3330,3470,3590,3600
Rangiora South East,540,590,580,1380,2230,2440,2640,2700
Southbrook,450,660,760,840,800,800,810,810
Swannanoa-Eyreton,360,560,730,950,990,1000,1030,1030
Tuahiwi,640,750,900,1010,980,970,990,980
Woodend,1640,2360,2740,2850,2860,2880,2960,3190
Pegasus,30,20,20,1080,2770,3000,3380,3810
Clarkville,900,980,1160,1380,1440,1450,1480,1500
Pegasus Bay,1090,1110,1200,1110,1080,1080,1130,1210
Kaiapoi North West,2500,2490,2550,2270,2140,2140,2180,2180
Silverstream (Waimakariri district),30,40,50,40,860,940,1090,1230
Sovereign Palms,170,170,740,1470,3530,3750,3860,3900
Kaiapoi West,1290,1350,1290,1320,1280,1270,1290,1280
Kaiapoi Central,1750,2350,2590,2340,2220,2240,2260,2250
Kaiapoi South,1640,2020,2040,1930,1880,1900,1920,1940
Kaiapoi East,1160,1410,1650,510,280,270,270,270
McLeans Island,180,180,210,240,210,200,190,190
Paparua,1350,1070,940,830,1020,1020,1020,1010
Yaldhurst,670,630,710,1490,1660,1670,1740,1920
Christchurch Airport,210,200,180,170,180,180,180,180
Clearwater,290,380,510,650,730,730,740,740
Belfast West,1490,1580,1810,1940,1970,1980,1970,1960
Harewood,700,780,1490,1480,1430,1410,1420,1400
Brooklands-Spencerville,1000,1270,1790,1180,760,740,750,750
Styx,920,930,980,1180,1110,1090,1070,1070
Belfast East,1860,1940,2000,2120,2400,2450,2530,2550
Northwood,180,200,2560,3700,3700,3680,3670,3630
Russley,840,820,900,950,1010,1010,1010,1000
Regents Park,210,440,1020,1050,1200,1330,1500,1670
Hawthornden,2340,2430,2540,2620,2600,2600,2680,2710
Bishopdale North,4260,4240,4180,4340,4350,4360,4350,4330
Casebrook,3730,3940,4060,4150,4210,4230,4250,4250
Bishopdale West,3010,2940,2900,2910,2980,2990,3010,2930
Templeton,1550,1630,1630,1860,1840,1820,1820,1790
Islington,870,860,850,940,1010,1020,1040,1030
Burnside Park,2820,2890,3100,3220,3380,3400,3420,3360
Marshland,730,770,820,790,820,820,840,910
Avonhead North,1410,1360,1470,1420,1470,1490,1480,1480
Redwood North,2250,2200,2940,2930,2860,2840,2830,2810
Broomfield,1920,1930,1910,2140,2680,2750,2820,2850
Redwood West,2230,2340,2380,2270,2270,2260,2270,2210
Avonhead West,1990,1970,1930,1870,1900,1880,1890,1850
Bishopdale South,2250,2150,2200,2180,2330,2330,2330,2330
Islington-Hornby Industrial,350,370,460,390,360,340,340,340
Burnside,3380,3370,3480,3530,3650,3680,3700,3660
Hei Hei,2430,2700,3240,3550,3620,3610,3610,3600
Papanui North,1890,1830,2000,2060,2040,2020,2030,2020
Avonhead East,2660,2710,2720,2760,2910,2940,2960,2950
Redwood East,3310,3310,3340,3270,3310,3310,3320,3290
Avonhead South,3140,3120,3180,3150,3370,3390,3410,3370
Riccarton Racecourse,1160,1260,1220,1260,1250,1290,1340,1490
Bryndwr North,3210,3220,3330,3570,3540,3520,3540,3470
Northlands (Christchurch city),120,130,120,130,130,130,130,110
Papanui West,2700,2840,2890,2960,3010,2990,3150,3110
Ilam North,3340,3370,3550,3660,3900,3940,3950,3910
Hornby West,2230,2240,2320,2420,2590,2600,2610,2590
Hornby Central,190,160,160,120,140,160,160,150
Northcote (Christchurch city),2510,2520,2660,2640,2730,2760,2790,2770
Jellie Park,2590,2830,3040,3130,3140,3130,3140,3080
Ilam South,2950,3030,3020,3120,3390,3390,3400,3350
Bryndwr South,2760,2790,2980,2830,3000,2960,3010,2950
Papanui East,1900,2200,2310,2480,2440,2450,2450,2380
Sockburn North,3320,3540,3700,3990,4230,4200,4200,4120
Hornby South,4370,4250,4220,4470,4640,4660,4710,4660
Ilam University,1870,2180,2310,2730,2670,2650,2640,2550
Prestons,200,180,160,250,3130,3570,3970,4560
Strowan,3650,3590,3780,3560,3600,3600,3600,3560
Fendalton,2170,2170,2140,2160,2060,2040,2030,2000
Waitikiri,210,300,1760,2560,2790,2800,2820,2800
Mairehau North,2090,2040,2180,2860,3220,3170,3140,3120
Bush Inn,2270,2250,2510,2790,3290,3240,3360,3270
Awatea North,970,1240,2030,2530,2630,2650,2650,2650
Upper Riccarton,1370,1360,1430,1750,1830,1850,1880,1880
Malvern,2500,2540,2700,2750,2680,2650,2660,2630
Rutland,3170,3140,3190,3170,3000,2960,2940,2890
Sockburn South,330,380,370,360,400,400,410,430
Deans Bush,2640,2620,2750,2640,2600,2580,2600,2570
Wigram North,0,0,0,50,660,720,810,910
Holmwood,2500,2400,2410,2190,2200,2200,2220,2210
Wharenui,2300,2450,2500,2700,2920,2900,2880,2840
Wigram West,10,10,50,400,1510,1550,1600,1640
Awatea South,60,70,60,60,1090,1500,1830,2080
Merivale,3430,3350,3330,3060,3030,3010,3030,3030
Mairehau South,3690,3720,3840,3940,3890,3860,3840,3800
Mona Vale,1180,1460,1490,1430,1410,1430,1440,1460
Riccarton West,2110,2370,2780,3030,3560,3620,3710,3610
Shirley West,3570,3520,4160,4140,4310,4330,4360,4310
Middleton,140,220,180,220,200,200,200,210
Wigram South,0,0,0,0,1410,1430,1470,1470
Queenspark,3510,3690,3740,3580,3580,3580,3600,3570
St Albans North,2040,2170,2320,2240,2230,2210,2220,2210
St Albans West,2730,2530,2620,2530,2670,2700,2720,2680
Travis Wetlands,1900,2090,2400,2480,2450,2430,2410,2410
Wigram East,0,0,0,0,830,870,910,930
Riccarton Central,30,30,30,20,50,50,50,60
Oaklands West,2140,2630,2590,2530,2600,2640,2680,2790
Riccarton South,2340,2520,2970,3260,3740,3800,3900,3850
Halswell West,230,300,390,400,3760,3990,4170,4600
Shirley East,1630,1980,2670,2710,2750,2730,2760,2690
Broken Run,20,30,20,400,600,620,640,640
St Albans East,2630,2570,2640,2660,3140,3250,3300,3300
Hagley Park,130,140,240,150,50,40,40,40
Hillmorton,2270,2260,2260,2760,2920,2920,2950,2930
Parklands,2830,3320,3910,4080,4150,4120,4090,4060
Riccarton East,840,920,1000,1040,1160,1160,1190,1250
Edgeware,3500,3430,3840,4150,4370,4430,4490,4510
Aidanfield,200,90,1350,3030,4050,4090,4090,4110
Tower Junction,20,30,30,40,120,240,230,230
Burwood,3310,3380,3490,3400,3360,3330,3390,3410
Christchurch Central-West,1670,1770,1920,1010,1010,1000,1080,1180
Christchurch Central-North,2250,2500,2570,1900,2520,2610,2770,2920
Richmond North (Christchurch city),2880,2930,2970,2340,2390,2380,2390,2430
Waimairi Beach,310,830,1080,1320,1340,1340,1330,1320
Addington West,1500,1590,2020,2540,2540,2560,2600,2700
Otakaro-Avon River Corridor,9110,9910,10750,1320,110,120,110,110
Oaklands East,3470,3390,3330,3400,3450,3460,3470,3480
Addington North,30,50,20,60,10,10,10,10
Dallington,2660,2770,2820,2330,2430,2420,2440,2380
Christchurch Central,220,440,410,30,110,110,120,130
Hoon Hay West,3280,3240,3230,3290,3350,3350,3340,3270
Richmond South (Christchurch city),2500,2540,2640,2160,2110,2160,2200,2190
Spreydon West,2920,2880,2990,3090,3200,3230,3240,3180
Christchurch Central-East,1960,2150,2240,1490,2070,2240,2470,2940
Christchurch Central-South,560,540,600,570,600,660,730,870
North Beach,4120,4180,4240,4160,4210,4190,4180,4140
Halswell North,260,400,1510,1860,2110,2130,2170,2300
Addington East,2200,2200,2420,2710,3060,3110,3190,3130
Avondale (Christchurch city),2870,2870,2790,2440,2450,2430,2440,2410
Spreydon North,3300,3320,3580,3710,3940,3990,4040,4000
Hoon Hay East,3220,3190,3140,3230,3320,3330,3340,3310
Avonside,1870,1940,1980,1770,1740,1730,1700,1670
Linwood West,4410,4290,4780,4480,5250,5320,5430,5360
Halswell South,2150,2130,2400,2390,2570,2630,2700,2750
Sydenham Central,120,130,130,120,150,390,400,400
Spreydon South,2060,2200,2260,2290,2430,2480,2470,2460
Rawhiti,3120,3300,3340,2780,2860,2840,2870,2820
Wainoni,2890,2980,2980,2800,2900,2890,2890,2850
Linwood North,2490,2470,2650,2510,2830,2860,2910,2870
Aranui,4480,4330,4450,3930,4380,4450,4530,4440
Sydenham West,1060,1060,1120,1200,1360,1380,1370,1330
Lancaster Park,260,250,260,230,260,270,280,280
Phillipstown,3380,3100,3470,3770,4240,4330,4400,4320
Kennedys Bush,550,580,720,890,920,940,1000,1090
Somerfield East,3550,3440,3680,3820,3830,3840,3850,3850
Somerfield West,2920,3040,3070,3230,3130,3100,3070,3040
Linwood East,1900,1840,1960,2010,2210,2230,2260,2230
Sydenham North,1740,1710,1860,1960,2110,2120,2150,2180
Hoon Hay South,1980,2050,2160,2210,2240,2240,2240,2210
Charleston (Christchurch city),1340,1260,1350,1460,1480,1500,1520,1530
Sydenham South,2200,2220,2390,2630,2900,2900,2900,2840
Bexley,2790,2690,2670,2330,2640,2680,2720,2700
Waltham,1410,1530,1680,1690,2030,2070,2100,2050
Westmorland,1370,1610,1710,2020,2250,2320,2400,2410
Woolston North,3220,3360,3460,3530,3540,3550,3570,3500
New Brighton,3470,3380,3480,3390,3450,3450,3430,3360
Cashmere West,3070,3060,3110,3060,3150,3190,3210,3190
Bromley South,2900,2950,3060,3070,3030,3030,3020,2950
Ensors,2140,2220,2290,2340,2390,2400,2400,2370
Beckenham,2440,2410,2530,2540,2480,2460,2440,2440
Bromley North,130,50,50,70,60,60,60,60
St Martins,2730,2740,2830,2770,2800,2800,2800,2770
Opawa,1430,1460,1480,1350,1390,1380,1360,1360
Woolston West,1270,1240,1310,1210,1260,1270,1280,1270
Woolston East,2550,2670,2820,3120,3330,3350,3360,3300
Huntsbury,1730,1930,2230,2130,2320,2360,2380,2400
Cashmere East,2980,3220,3410,3370,3490,3510,3530,3520
Hillsborough (Christchurch city),2580,2530,2610,2320,2450,2470,2480,2490
Woolston South,530,520,500,540,530,520,520,510
Port Hills,50,70,90,100,70,70,80,80
South New Brighton,3900,3880,3780,3360,3330,3290,3270,3280
Brookhaven-Ferrymead,150,790,1110,1060,1110,1100,1110,1140
Heathcote Valley,1650,1930,2260,2210,2290,2310,2320,2310
Mount Pleasant,3840,3940,4110,3170,3670,3740,3790,3840
Redcliffs,1860,1910,2160,1860,2020,2040,2070,2090
Governors Bay,670,760,860,850,910,920,940,940
Inlets other Christchurch city,0,0,0,0,0,0,0,0
Clifton Hill,1830,1890,1910,1550,1700,1740,1770,1780
Lyttelton,3070,3040,3090,2900,3100,3130,3160,3170
Inlet Port Lyttelton,50,20,10,0,0,0,0,0
Sumner,3610,3710,3890,3620,3670,3670,3670,3600
Teddington,170,200,190,200,240,250,260,260
Diamond Harbour,1000,1160,1260,1350,1530,1560,1620,1600
Inland water Lake Ellesmere/Te Waihora South,0,0,0,0,0,0,0,0
Banks Peninsula South,880,980,1060,1150,1210,1230,1240,1240
Eastern Bays-Banks Peninsula,590,600,630,670,640,630,630,630
Akaroa Harbour,640,670,730,780,740,730,730,740
Inlet Akaroa Harbour,0,0,0,0,0,0,0,0
Akaroa,680,610,620,670,770,790,800,790
Craigieburn,240,200,200,230,170,180,180,190
Torlesse,890,930,930,1060,1210,1240,1270,1270
Glenroy-Hororata,890,930,1020,1130,1250,1270,1290,1270
Glentunnel,780,830,910,1160,1230,1240,1290,1290
Darfield,1520,1830,2050,2500,2830,2900,2960,2960
Kirwee,720,770,960,1160,1320,1340,1380,1450
Bankside,1030,1210,1410,1680,1760,1790,1830,1820
Charing Cross,580,680,720,880,920,920,940,950
Halkett,960,1130,1320,1620,1700,1700,1740,1740
Newtons Road,2220,2370,2710,3340,3490,3510,3650,3650
West Melton,230,300,330,820,2210,2380,2530,2530
Burnham Camp,1530,1200,1350,1250,1280,1380,1410,1360
Rolleston Izone,40,60,60,50,40,40,40,40
Rolleston North West,490,510,600,1880,3980,4170,4330,4460
Springston,1450,1560,1750,2120,2230,2230,2290,2300
Rolleston Central,580,850,2410,3110,3410,3470,3590,3560
Rolleston North East,70,760,1190,2340,4780,4980,5170,5220
Rolleston South West,180,340,580,2200,2970,3170,3480,3830
Southbridge,1860,2050,2230,2530,2590,2590,2650,2610
Rolleston South East,190,310,370,470,3220,4100,5470,7560
Trents,1100,1170,1530,1930,1980,1990,2010,2000
Prebbleton,970,1050,2080,2910,4680,4830,4990,5020
Irwell,1060,1180,1210,1330,1320,1320,1370,1350
Ladbrooks,920,1080,1350,1640,1780,1800,1840,1880
Lincoln West,1880,1760,2170,2480,3130,3300,3420,3660
Lincoln East,540,680,750,1570,3710,4170,4730,5260
Leeston,1300,1270,1370,1600,2290,2340,2380,2370
Tai Tapu,690,740,790,990,1210,1280,1330,1330
Motukarara,550,570,600,720,630,640,650,650
Inland water Lake Ellesmere/Te Waihora North,0,0,0,0,0,0,0,0
Ashburton Lakes,80,60,90,110,100,100,110,110
Cairnbrae,1300,1310,1270,1460,1510,1520,1570,1590
Ashburton Forks,1670,1680,1720,2100,2300,2350,2400,2410
Methven,1130,1210,1450,1780,1860,1880,1900,1920
Ealing-Lowcliffe,1030,1070,1230,1450,1630,1670,1720,1720
Eiffelton,1510,1590,1870,2330,2570,2600,2660,2690
Chertsey,1280,1290,1460,1670,1690,1680,1740,1760
Winchmore-Wakanui,1140,1210,1320,1490,1600,1620,1650,1680
Allenton North,1800,1750,1930,2260,2630,2630,2660,2680
Allenton South,1870,1870,1900,2130,2210,2190,2240,2240
Rakaia,900,970,1090,1310,1480,1500,1530,1560
Ashburton North,730,840,970,1040,1070,1080,1090,1080
Allenton East,1700,1830,1980,2190,2180,2180,2220,2210
Tinwald North,870,930,1030,1110,1210,1250,1280,1310
Ashburton Central,260,180,170,160,150,150,160,160
Ashburton West,940,940,930,950,970,960,990,1020
Tinwald South,1870,1940,2020,2260,2420,2430,2450,2410
Ashburton East,1520,1450,1560,1750,1810,1840,1860,1860
Netherby,1590,1490,1530,1910,2210,2260,2320,2380
Hampstead,2480,2380,2540,2860,3020,3050,3100,3120
Ben McLeod,170,130,110,170,140,140,150,160
Arundel,1030,1030,1150,1350,1430,1450,1470,1490
Levels Valley,960,920,970,1050,1070,1080,1090,1100
Geraldine,2330,2310,2390,2470,2750,2770,2780,2800
Rangitata,1150,1140,1310,1550,1690,1700,1710,1750
Waitohi (Timaru district),1570,1590,1620,1820,1810,1810,1820,1850
Pleasant Point,1270,1200,1220,1340,1430,1450,1460,1480
Temuka West,2020,2040,2090,2080,2220,2220,2240,2260
Hadlow,920,1030,1230,1310,1470,1490,1500,1510
Levels,1060,1000,1150,1180,1250,1260,1270,1290
Temuka East,2210,2210,2240,2320,2380,2390,2410,2410
Gleniti North,890,1000,1110,1260,1520,1540,1590,1590
Washdyke,1120,1040,1070,980,1050,1080,1110,1140
Fairview,1580,1570,1620,1630,1670,1690,1720,1730
Gleniti South,1910,2020,2150,2360,2480,2470,2500,2510
Glenwood,1760,1730,1690,1810,1850,1850,1860,1850
Marchwiel West,1490,1510,1520,1520,1580,1590,1610,1610
Marchwiel East,1880,1850,1800,1860,2030,2050,2060,2040
Highfield North,2400,2360,2300,2290,2390,2370,2340,2340
Highfield South,1210,1230,1310,1250,1290,1300,1320,1310
Waimataitai-Maori Hill,2070,2040,1930,1970,2100,2120,2140,2120
Fraser Park,2840,2720,2740,2780,2840,2830,2840,2830
Seaview,2230,2130,2230,2100,2170,2190,2230,2250
Inlet Port Timaru,160,110,0,0,0,0,0,0
Watlington,2370,2310,2300,2370,2320,2320,2320,2300
Timaru Central,470,440,430,440,430,430,440,430
Timaru East,390,350,310,270,310,310,310,320
Parkside,2430,2320,2350,2450,2450,2470,2470,2460
Kensington (Timaru district),1580,1520,1480,1460,1510,1520,1530,1540
Mackenzie Lakes,850,780,800,920,1250,1360,1460,1440
Inland water Lake Pukaki,0,0,0,0,0,0,0,0
Inland water Lake Tekapo,0,0,0,0,0,0,0,0
Twizel,1220,1040,1070,1190,1530,1600,1660,1660
Opua (Mackenzie district),1100,1100,1130,1310,1410,1410,1410,1440
Fairlie,1000,870,890,890,920,910,920,940
Hakataramea,840,760,750,790,870,890,900,910
Maungati,810,710,690,760,770,770,780,770
Lyalldale,610,580,600,660,710,720,720,730
Makikihi-Willowbridge,1000,980,1010,1030,1050,1050,1100,1100
Waimate North,530,490,460,520,520,520,530,530
Morven-Glenavy-Ikawai,980,910,970,1180,1140,1150,1160,1170
Waimate West,1410,1320,1370,1300,1380,1390,1390,1390
Waimate East,1600,1490,1540,1570,1670,1680,1670,1690
Aviemore,930,720,680,740,800,860,890,920
Inland water Lake Ohau,0,0,10,0,0,0,0,0
Danseys Pass,990,880,880,950,1010,1030,1040,1040
Oceanic Canterbury region,0,0,0,10,0,0,0,0
Motunau Island,0,0,0,0,0,0,0,0
