School Number,School Name,Telephone,School Website,Street,Suburb,Town / City,Postal Code,School Type,Gender of Students,Area Unit,Latitude,Longitude,Decile,Total Students
82,Aidanfield Christian School,03 338 8153,http://www.aidanfield.school.nz/,2 Nash Road,Aidanfield,Christchurch,8025,Composite,Co-Educational,Aidanfield,-43.563771,172.571,8,386
307,Kaikoura High School,03 319 5138,http://www.kaikourahigh.school.nz,1 Rorrisons Road,,Kaikoura,7340,Secondary (Year 7-15),Co-Educational,Kaikoura Rural,-42.400438,173.674454,4,215
308,Amuri Area School,03 315 8233,http://www.amuri.school.nz,School Road,,Culverden,7345,Composite,Co-Educational,Culverden,-42.771117,172.848257,8,367
309,Cheviot Area School,03 319 8787,http://www.cheviot.school.nz/,Hall Street,,Cheviot,7341,Composite,Co-Educational,Cheviot,-42.811459,173.275547,4,212
310,Oxford Area School,03 312 4197,http://www.oxford.school.nz,52 Bay Road,,Oxford,7430,Composite,Co-Educational,Oxford,-43.2942,172.187986,7,531
311,Hurunui College,03 314 4430,http://www.hurunuicollege.school.nz,Tenterden Street,,Hawarden,7348,Composite,Co-Educational,Hurunui,-42.92381,172.637037,7,204
312,Rangiora High School,03 311 8888,http://www.rangiorahigh.school.nz,East Belt,,Rangiora,7400,Secondary (Year 9-15),Co-Educational,Rangiora North,-43.298192,172.598729,9,1573
314,Kaiapoi High School,03 375 5004,http://www.kaiapoi.school.nz,101 Ohoka Road,,Kaiapoi,7630,Secondary (Year 9-15),Co-Educational,Mansfield,-43.387172,172.646126,7,920
315,St Bedes College,03 375 0647,http://www.stbedes.school.nz,210 Main North Road,Papanui,Christchurch,8542,Secondary (Year 9-15),Single Sex (Boys School),Redwood South,-43.484055,172.616872,9,811
316,Papanui High School,03 352 6119,http://www.papanui.school.nz/,30 Langdons Road,Papanui,Christchurch,8542,Secondary (Year 9-15),Co-Educational,Northcote,-43.491042,172.606715,7,1578
317,Christchurch Adventist School,03 352 9173,http://www.cas.school.nz,15 Grants Road,Papanui,Christchurch,8542,Composite,Co-Educational,Papanui,-43.499023,172.611436,5,271
318,St Andrew's College (Christchurch),03 940 2000,http://www.stac.school.nz,347 Papanui Road,Bryndwr,Christchurch,8052,Composite,Co-Educational,Strowan,-43.506368,172.615873,10,1588
319,Burnside High School,03 358 8383,http://www.burnside.school.nz,151 Greers Road,Burnside,Christchurch,8540,Secondary (Year 9-15),Co-Educational,Wairarapa,-43.50732,172.57771,8,2455
320,Mairehau High School,03 385 3145,http://www.mairehau.school.nz,Hills Road,,Christchurch,8052,Secondary (Year 9-15),Co-Educational,Mairehau North,-43.494021,172.648484,4,359
321,Shirley Boys' High School,03 375 7057,http://www.shirley.school.nz,209 Travis Road,,Christchurch,8640,Secondary (Year 9-15),Single Sex (Boys School),North Beach,-43.494009,172.708176,6,1247
324,Avonside Girls' High School,03 389 7199,http://www.avonside.school.nz,209 Travis Road,North New Brighton,Christchurch,8083,Secondary (Year 9-15),Single Sex (Girls School),North Beach,-43.493984,172.707457,6,1027
325,Rangi Ruru Girls' School,03 983 3700,http://www.rangiruru.school.nz,59 Hewitts Road,Merivale,Christchurch,8014,Secondary (Year 7-15),Single Sex (Girls School),Merivale,-43.518903,172.617787,10,672
326,Villa Maria College,03 348 4165,http://www.villa.school.nz,21 Peer Street,Upper Riccarton,Christchurch,8041,Secondary (Year 7-15),Single Sex (Girls School),Upper Riccarton,-43.528309,172.567569,9,823
327,Christchurch Boys' High School,03 348 5003,http://www.cbhs.school.nz,71 Straven Road,Riccarton,Christchurch,8440,Secondary (Year 9-15),Single Sex (Boys School),Deans Bush,-43.524811,172.59842,10,1366
328,Christchurch Girls' High School -Te Kura o Hine Waiora,03 348 0849,http://www.cghs.school.nz,10 Matai Street,Riccarton,Christchurch,8011,Secondary (Year 9-15),Single Sex (Girls School),Mona Vale,-43.524298,172.611374,9,1233
330,Christ's College,03 366 8705,http://www.christscollege.com,33 Rolleston Avenue,Christchurch Central,Christchurch,8140,Secondary (Year 9-15),Single Sex (Boys School),Hagley Park,-43.529721,172.627122,10,684
331,St Thomas of Canterbury College,03 348 7010,http://www.stc.school.nz,69 Middlepark Road,Sockburn,Christchurch,8443,Secondary (Year 7-15),Single Sex (Boys School),Sockburn,-43.533612,172.556212,8,676
333,St Margaret's College,03 379 2000,http://www.stmargarets.school.nz/,12 Winchester Street,Merivale,Christchurch,8144,Composite,Single Sex (Girls School),Merivale,-43.519096,172.622159,10,832
334,Riccarton High School,03 348 5073,http://www.riccarton.school.nz,31 Vicki Street,Sockburn,Christchurch,8042,Secondary (Year 9-15),Co-Educational,Sockburn,-43.535895,172.566365,6,1066
335,Middleton Grange School,03 348 9826,http://www.middleton.school.nz,30 Acacia Avenue,Riccarton,Christchurch,8041,Composite,Co-Educational,Wharenui,-43.53625,172.57652,9,1329
336,Hagley Community College,03 379 3090,http://www.hagley.school.nz,510 Hagley Avenue,Christchurch Central,Christchurch,8140,Secondary (Year 9-15),Co-Educational,Cathedral Square,-43.537243,172.623008,6,2037
337,Linwood College,03 982 0100,http://www.linwoodcollege.school.nz,180 Avonside Drive,Linwood,Christchurch,8642,Secondary (Year 7-15),Co-Educational,Avonside,-43.523836,172.661247,3,753
338,Hornby High School,03 349 5396,http://www.hornby.school.nz,180 Waterloo Road,Hornby,Christchurch,8042,Secondary (Year 7-15),Co-Educational,Hornby North,-43.538179,172.527635,3,756
339,Hillmorton High School,03 338 5119,http://www.hillmorton.school.nz,Tankerville Road,Barrington,Christchurch,8244,Secondary (Year 7-15),Co-Educational,Hillmorton,-43.55768,172.592782,4,991
340,Cashmere High School,03 332 9129,http://www.cashmere.school.nz,172 Rose Street,Somerfield,Christchurch,8024,Secondary (Year 9-15),Co-Educational,Barrington South,-43.56457,172.623861,9,2083
341,Hillview Christian School,03 332 6923,http://www.hillview.school.nz,150 Wilsons Road,St Martins,Christchurch,8022,Composite,Co-Educational,St Martins,-43.555741,172.652801,7,547
343,Marian College,03 385 8449,http://www.mariancollege.school.nz,122 Barbadoes Street,Christchurch Central,Christchurch,8640,Secondary (Year 9-15),Single Sex (Girls School),Cathedral Square,-43.539044,172.646143,8,395
346,Darfield High School,03 318 8411,http://www.darfield.school.nz,Mclaughlins Road,,Darfield,7541,Secondary (Year 7-15),Co-Educational,Darfield,-43.490028,172.103661,9,723
347,Lincoln High School,03 325 2121,http://www.lincoln.school.nz,25 Boundary Road,,Lincoln,7640,Secondary (Year 9-15),Co-Educational,Lincoln,-43.635766,172.485673,10,1356
348,Mount Hutt College,03 302 8437,http://mounthuttcollege.co.nz,44 Main Street,,Methven,7745,Secondary (Year 7-15),Co-Educational,Methven,-43.637617,171.650321,9,477
349,Ellesmere College,03 324 3369,http://www.ellesmere.school.nz,Leeston Dunsandel Road,,Leeston,7656,Secondary (Year 7-15),Co-Educational,Leeston,-43.757832,172.292414,8,532
350,Akaroa Area School,03 304 7108,http://akaroa.school.nz/,141 Rue Jolie,,Akaroa,7520,Composite,Co-Educational,Akaroa,-43.811179,172.962434,7,114
351,Ashburton College,03 308 4193,http://www.ashburtoncollege.school.nz,27 Walnut Avenue,Allenton,Ashburton,7740,Secondary (Year 9-15),Co-Educational,Allenton East,-43.892281,171.750169,6,1205
352,Geraldine High School,03 693 0017,http://www.geraldinehs.school.nz,Mckenzie Street,,Geraldine,7930,Secondary (Year 7-15),Co-Educational,Geraldine,-44.091799,171.248558,8,612
353,Mackenzie College,03 685 8603,http://www.mackcollege.school.nz,Kirke Street,,Fairlie,7925,Secondary (Year 7-15),Co-Educational,Fairlie,-44.101614,170.825165,8,179
354,Opihi College,03 615 7442,http://www.opihicollege.school.nz/,Richard Pearse Drive,,Temuka,7920,Secondary (Year 7-15),Co-Educational,Temuka,-44.23971,171.293655,5,276
357,Craighead Diocesan School,03 688 6074,http://www.craighead.school.nz,1 Wrights Avenue,West End,Timaru,7910,Secondary (Year 7-15),Single Sex (Girls School),Highfield,-44.388302,171.225493,9,380
358,Roncalli College,03 688 6003,http://www.roncalli.school.nz,Wellington Street,,Timaru,7940,Secondary (Year 9-15),Co-Educational,Parkside,-44.402798,171.245982,7,503
359,Mountainview High School,03 684 7039,http://www.mountainview.school.nz/,Pages Road,,Timaru,7940,Secondary (Year 9-15),Co-Educational,Marchwiel,-44.376707,171.219535,6,476
360,Timaru Boys' High School,03 687 7560,http://www.timaruboys.school.nz,211 North Street,West End,Timaru,7940,Secondary (Year 9-15),Single Sex (Boys School),Fraser Park,-44.400183,171.230188,7,612
361,Timaru Girls' High School,03 688 1122,http://www.timarugirls.school.nz,Cain Street,,Timaru,7940,Secondary (Year 9-15),Single Sex (Girls School),Parkside,-44.405382,171.244212,6,411
362,Waimate High School,03 689 8920,http://www.waimate-high.school.nz,Paul Street,,Waimate,7924,Secondary (Year 7-15),Co-Educational,Waimate,-44.73745,171.047272,5,267
363,Waitaki Valley School,03 436 0660,http://www.waitakivalley.school.nz,Settlement Road,,Kurow,9435,Full Primary,Co-Educational,Kurow,-44.7425,170.464687,8,112
368,The Cathedral Grammar School,03 365 0385,http://www.cathedralgrammar.school.nz,2 Chester Street West,,Christchurch,8140,Full Primary,Co-Educational,Hagley Park,-43.528058,172.628555,10,265
418,Rangiora New Life School,03 313 6332,http://www.rnls.school.nz,Denchs Road,Southbrook,Rangiora,7400,Composite,Co-Educational,Southbrook,-43.320251,172.598016,9,461
419,Rudolf Steiner School (Chch),03 337 0514,http://www.ch.steiner.school.nz,19 Ombersley Terrace,Opawa,Christchurch,8241,Composite,Co-Educational,Opawa,-43.560087,172.659135,8,355
518,Kingslea School,03 977 5435,http://www.kingslea.school.nz,60 Horseshoe Lake Road,Shirley,Christchurch,7643,Special School,Co-Educational,Burwood,-43.504342,172.668091,1,93
522,Halswell Residential College,03 338 5089,http://www.halswellcollege.com,15 Nash Road,Halswell,Christchurch,8025,Special School,Co-Educational,Aidanfield,-43.562158,172.569358,2,9
527,Twizel Area School,03 435 0650,https://twizel.wordpress.com/,Mt Cook Street,,Twizel,7901,Composite,Co-Educational,Twizel Community,-44.255248,170.098059,8,232
531,Catholic Cathedral College,03 982 1690,http://www.cathcollege.school.nz,62 Ferry Road,Phillipstown,Christchurch,8145,Secondary (Year 7-15),Co-Educational,Cathedral Square,-43.53766,172.646599,4,436
572,Te Matauru Primary,03 928 3191,http://tematauru.school.nz/,53-59 Pentecost Road,,Rangiora,7440,Full Primary,Co-Educational,Lehmans,-43.314642,172.583507,7,174
579,Knights Stream School- Mingimingi Hautoa,03 928 1050,http://www.knightsstream.school.nz/,1 Killarney Avenue,Halswell,Christchurch,8025,Full Primary,Co-Educational,Halswell West,-43.570862,172.537934,10,312
584,West Rolleston Primary School,03 595 0952,http://www.westrolleston.school.nz,327 Dunns Crossing Road,,Rolleston,7678,Full Primary,Co-Educational,Springston,-43.606888,172.355917,10,748
585,Ararira Springs Primary- Te Puna o Ararira,03 420 0888,http://www.ararira.school.nz/,18 Russ Drive,,Lincoln,7672,Full Primary,Co-Educational,Lincoln,-43.648092,172.492975,10,283
608,Ashburton Christian School,03 307 6340,http://www.ashburtonchristian.school.nz,119 Albert Street,Elgin,Ashburton,7740,Composite,Co-Educational,Ashburton East,-43.911169,171.77209,6,191
610,Seven Oaks School,03 377 8603,http://www.sevenoaks.school.nz/,77 Murphys Road,Halswell,Christchurch,8025,Full Primary,Co-Educational,Halswell West,-43.58267,172.548458,99,61
654,Rolleston College,03 595 2490,http://www.rollestoncollege.nz,631 Springston Rolleston Road,,Rolleston,7658,Secondary (Year 9-15),Co-Educational,Rolleston South East,-43.603517,172.388514,10,1262
683,Ao Tawhiti Unlimited Discovery,03 377 7773,https://aotawhiti.school.nz/,5 Mollett St,,Christchurch,8140,Composite,Co-Educational,Cathedral Square,-43.535939,172.635943,7,654
684,Te Waka Unua School,03 389 9305,http://www.tewaka.school.nz,476 Ferry Road,Woolston,Christchurch,8023,Full Primary,Co-Educational,Ensors,-43.545671,172.672639,2,505
685,Waitakiri Primary School,03 383 2736,http://www.waitakiri.school.nz/,170 Burwood Road,Burwood,Christchurch,8083,Contributing,Co-Educational,Travis Wetland,-43.488844,172.683844,8,612
686,Lyttelton Primary School,03 929 0588,http://www.lyttelton.school.nz,34 Oxford Street,,Lyttelton,8841,Full Primary,Co-Educational,Lyttelton,-43.602344,172.723168,9,219
695,Seven Oaks Secondary School,03 377 8603,http://www.sevenoaks.school.nz,77 Murphys Road,Halswell,Christchurch,8025,Secondary (Year 9-15),Co-Educational,Halswell West,-43.583351,172.549813,99,0
696,Rāwhiti School,03 388 9519,http://www.rawhiti.school.nz,150 Leaver Terrace,North New Brighton,Christchurch,8083,Full Primary,Co-Educational,North Beach,-43.496105,172.717708,3,600
704,Haeata Community Campus,03 930 0110,http://www.haeata.school.nz,240 Breezes Road,Wainoni,Christchurch,8643,Composite,Co-Educational,Wainoni,-43.514761,172.696693,1,608
706,Te Pa o Rakaihautu,03 381 0899,http://www.rakaihautu.com,7 McLean Street,Linwood,Christchurch,8013,Composite,Co-Educational,Linwood North,-43.52931,172.672461,4,226
710,Rolleston Christian School,03 550 2653,http://www.rollestonchristian.school.nz,571-575 Springston Rolleston Road,,Rolleston,7678,Full Primary,Co-Educational,Rolleston South East,-43.608323,172.392912,9,201
712,Te Rōhutu Whio (Proposed opening date: 2022-01-01),,https://terohutuwhio.school.nz/,Ed Hillary Drive,,Rolleston,7650,Full Primary,Co-Educational,Rolleston South East,-43.611772,172.404307,9,0
738,St Francis of Assisi Catholic School,03 595 0730,http://www.stfrancischch.school.nz,370 Innes Road,Mairehau,Christchurch,8052,Full Primary,Co-Educational,Mairehau,-43.499792,172.639393,7,362
903,Ko Taku Reo – Deaf Education New Zealand,03 326 6009,http://www.kotakureo.school.nz/,38 Truro Street,Sumner,Christchurch,8840,Special School,Co-Educational,Sumner,-43.580312,172.75832,3,114
1168,Emmanuel Christian School,03 359 3595,http://www.emmanuelchristian.school.nz,322A Sawyers Arms Road,Bishopdale,Christchurch,8053,Composite,Co-Educational,Sawyers Arms,-43.478668,172.588279,8,249
1582,Nova Montessori School,03 382 0503,http://www.novamontessori.school.nz,53 Owles Terrace,New Brighton,Christchurch,8061,Full Primary,Co-Educational,New Brighton,-43.510659,172.724993,9,49
1611,Timaru Christian School,03 688 1422,http://www.timaruchristian.school.nz,10 Quarry Road,Watlington,Timaru,7910,Composite,Co-Educational,Watlington,-44.403579,171.228316,8,143
1618,TKKM o Te Whanau Tahi,03 337 4360,http://www.whanau-tahi.school.nz,83 Lyttelton Street,Spreydon,Christchurch,8244,Composite,Co-Educational,Barrington South,-43.564588,172.614592,3,163
1631,Southern Health School,03 366 6739,http://www.srhs.school.nz,2 Halswell Road,Hillmorton,Christchurch,8140,Special School,Co-Educational,Hillmorton,-43.553887,172.593881,1,13
2107,Geraldine Primary School,03 693 8208,http://www.geraldineprimary.school.nz/,Wilson Street,,Geraldine,7930,Contributing,Co-Educational,Geraldine,-44.096874,171.238854,8,296
2108,Winchester Rural School,03 615 9436,http://www.winchesterrural.school.nz,Rise Road,,Winchester,7958,Contributing,Co-Educational,Winchester,-44.189987,171.278429,7,143
2109,Temuka Primary School,03 615 7178,http://www.temukaprimary.school.nz,9 Hayhurst Street,,Temuka,7920,Contributing,Co-Educational,Temuka,-44.246309,171.286993,5,252
2110,Oceanview Heights School,03 687 9235,,241 Selwyn Street,Marchwiel,Timaru,7910,Full Primary,Co-Educational,Marchwiel,-44.379556,171.230872,2,87
2111,Grantlea Downs School,03 684 7706,http://www.grantleadowns.school.nz,65 Grants Road,Marchwiel,Timaru,7910,Full Primary,Co-Educational,Marchwiel,-44.374383,171.235534,5,331
2112,Barton Rural School,03 688 4709,http://www.bartonrural.school.nz/,462 Fairview Road,Gleniti,Timaru,7972,Full Primary,Co-Educational,Fairview-Scarborough,-44.409939,171.171624,9,166
2113,Bluestone School,03 684 3706,http://www.bluestone.school.nz,Raymond Street,West End,Timaru,7910,Full Primary,Co-Educational,Fraser Park,-44.398364,171.226384,5,499
2114,Beaconsfield School,03 686 4819,http://www.beaconsfield.school.nz,40 Guscott Road,Gleniti,Timaru,7972,Full Primary,Co-Educational,Levels,-44.434245,171.129705,9,117
2115,Timaru South School,03 684 3704,http://www.timarusouth.school.nz,44 Queen Street,Parkside,Timaru,7910,Full Primary,Co-Educational,Timaru Gardens,-44.408464,171.249835,2,235
2126,Jean Seabrook Memorial School,03 381 5383,,68 London Street,Richmond,Christchurch,8013,Full Primary,Co-Educational,Richmond South,-43.520222,172.654826,99,7
2748,Karanga Mai Young Parents College,03 327 8386,,26 Robert Coup Road,,Kaiapoi,7630,Teen Parent Unit,Co-Educational,Mansfield,-43.38764,172.644532,1,0
2761,Kimihia Parents' College,03 982 0100,http://www.linwoodcollege.school.nz,521 Ferry Road,Woolston,Christchurch,8642,Teen Parent Unit,Co-Educational,Woolston West,-43.544767,172.673447,1,0
3270,Sacred Heart School (Christchurch),03 338 3247,http://www.sacredheartchch.school.nz,40 Spencer Street,Addington,Christchurch,8149,Full Primary,Co-Educational,Addington,-43.546066,172.612757,4,187
3271,Addington Te Kura Taumatua,03 366 2909,http://www.addington.school.nz/,22 Brougham Street,Addington,Christchurch,8024,Contributing,Co-Educational,Spreydon,-43.547858,172.61824,3,278
3273,Albury School,03 685 5844,http://www.albury.school.nz,48 Queen Street,,Albury,7984,Contributing,Co-Educational,Mackenzie,-44.230478,170.87061,7,33
